Year,County,Acres Burned,Poverty Rate
2019,Santa Barbara ,,12.93890461
2019,Santa Clara ,,7.3948751470000005
2019,Santa Cruz ,,12.5634212
2019,Shasta ,,16.4179854
2019,Sierra ,,9.572368421
2019,Siskiyou ,,18.6389988
2019,Solano ,,9.306994335
2019,Sonoma ,,9.087744011
2019,Stanislaus ,,14.98819943
2019,Sutter ,,15.28160734
2019,Tehama ,,21.79559394
2019,Trinity ,,18.67716535
2019,Tulare ,,23.49263257
2019,Tuolumne ,,11.92154686
2019,Ventura ,,8.810133335
2019,Yolo ,,18.36606058
2019,Yuba ,,15.15453117
